89001,,390
89001,1,140
89001,2,80
89001,3,70
89001,4,50
89001,5,50
89001,6,**
,,
89002,,16090
89002,1,4530
89002,2,3470
89002,3,2520
89002,4,1950
89002,5,3050
89002,6,570
,,
89005,,7060
89005,1,2170
89005,2,1520
89005,3,1080
89005,4,760
89005,5,1190
89005,6,340
,,
89008,,450
89008,1,160
89008,2,100
89008,3,90
89008,4,60
89008,5,40
89008,6,**
,,
89010,,170
89010,1,60
89010,2,50
89010,3,30
89010,4,30
89010,5,**
89010,6,**
,,
89011,,12850
89011,1,3870
89011,2,3570
89011,3,1960
89011,4,1220
89011,5,1650
89011,6,580
,,
89012,,16030
89012,1,4120
89012,2,3370
89012,3,2530
89012,4,1870
89012,5,2960
89012,6,1180
,,
89013,,150
89013,1,60
89013,2,40
89013,3,20
89013,4,30
89013,5,**
89013,6,**
,,
89014,,19270
89014,1,6780
89014,2,5630
89014,3,2820
89014,4,1630
89014,5,1960
89014,6,450
,,
89015,,17670
89015,1,6600
89015,2,4820
89015,3,2550
89015,4,1600
89015,5,1790
89015,6,310
,,
89019,,1100
89019,1,480
89019,2,350
89019,3,110
89019,4,80
89019,5,80
89019,6,**
,,
89020,,400
89020,1,150
89020,2,130
89020,3,60
89020,4,40
89020,5,20
89020,6,**
,,
89027,,6550
89027,1,2380
89027,2,1670
89027,3,990
89027,4,610
89027,5,720
89027,6,180
,,
89029,,3470
89029,1,1600
89029,2,840
89029,3,410
89029,4,250
89029,5,290
89029,6,80
,,
89030,,19630
89030,1,10890
89030,2,6670
89030,3,1520
89030,4,380
89030,5,150
89030,6,20
,,
89031,,31540
89031,1,10750
89031,2,9820
89031,3,5100
89031,4,2960
89031,5,2700
89031,6,210
,,
89032,,20100
89032,1,7900
89032,2,6820
89032,3,2880
89032,4,1390
89032,5,1040
89032,6,70
,,
89040,,1280
89040,1,430
89040,2,280
89040,3,210
89040,4,150
89040,5,210
89040,6,**
,,
89043,,390
89043,1,130
89043,2,80
89043,3,80
89043,4,50
89043,5,50
89043,6,**
,,
89044,,10330
89044,1,2090
89044,2,1740
89044,3,1620
89044,4,1370
89044,5,2550
89044,6,960
,,
89045,,670
89045,1,110
89045,2,70
89045,3,90
89045,4,180
89045,5,220
89045,6,**
,,
89046,,220
89046,1,100
89046,2,60
89046,3,20
89046,4,20
89046,5,20
89046,6,**
,,
89048,,7590
89048,1,3280
89048,2,1860
89048,3,1060
89048,4,650
89048,5,660
89048,6,80
,,
89049,,1140
89049,1,380
89049,2,230
89049,3,190
89049,4,140
89049,5,200
89049,6,**
,,
89052,,26150
89052,1,6580
89052,2,4900
89052,3,3690
89052,4,2880
89052,5,5340
89052,6,2760
,,
89060,,3730
89060,1,1590
89060,2,930
89060,3,550
89060,4,320
89060,5,290
89060,6,50
,,
89061,,2250
89061,1,790
89061,2,510
89061,3,360
89061,4,240
89061,5,300
89061,6,50
,,
89074,,25130
89074,1,7570
89074,2,6200
89074,3,3970
89074,4,2540
89074,5,3610
89074,6,1240
,,
89081,,16210
89081,1,5580
89081,2,5300
89081,3,2570
89081,4,1410
89081,5,1250
89081,6,100
,,
89084,,12110
89084,1,3390
89084,2,3010
89084,3,1990
89084,4,1450
89084,5,1980
89084,6,290
,,
89085,,1720
89085,1,400
89085,2,300
89085,3,290
89085,4,300
89085,5,380
89085,6,50
,,
89086,,2520
89086,1,950
89086,2,890
89086,3,340
89086,4,190
89086,5,150
89086,6,**
,,
89101,,15070
89101,1,8540
89101,2,4820
89101,3,1050
89101,4,320
89101,5,230
89101,6,110
,,
89102,,15950
89102,1,8030
89102,2,5170
89102,3,1270
89102,4,560
89102,5,630
89102,6,290
,,
89103,,23950
89103,1,10790
89103,2,8660
89103,3,2470
89103,4,940
89103,5,780
89103,6,310
,,
89104,,18060
89104,1,9100
89104,2,6080
89104,3,1730
89104,4,630
89104,5,450
89104,6,70
,,
89106,,10430
89106,1,5720
89106,2,3260
89106,3,880
89106,4,310
89106,5,200
89106,6,60
,,
89107,,17180
89107,1,7740
89107,2,5680
89107,3,1990
89107,4,800
89107,5,650
89107,6,320
,,
89108,,31660
89108,1,14290
89108,2,10740
89108,3,3720
89108,4,1570
89108,5,1190
89108,6,150
,,
89109,,3570
89109,1,1310
89109,2,890
89109,3,340
89109,4,220
89109,5,360
89109,6,450
,,
89110,,30210
89110,1,13690
89110,2,10150
89110,3,3340
89110,4,1500
89110,5,1360
89110,6,170
,,
89113,,15650
89113,1,4560
89113,2,4660
89113,3,2490
89113,4,1390
89113,5,1780
89113,6,770
,,
89115,,22980
89115,1,11810
89115,2,7880
89115,3,2190
89115,4,710
89115,5,360
89115,6,30
,,
89117,,27990
89117,1,9410
89117,2,7880
89117,3,3980
89117,4,2260
89117,5,3010
89117,6,1450
,,
89118,,10370
89118,1,3830
89118,2,3630
89118,3,1340
89118,4,600
89118,5,690
89118,6,280
,,
89119,,21640
89119,1,10970
89119,2,7200
89119,3,1970
89119,4,770
89119,5,570
89119,6,160
,,
89120,,11540
89120,1,4450
89120,2,3540
89120,3,1520
89120,4,770
89120,5,950
89120,6,310
,,
89121,,29550
89121,1,13860
89121,2,9640
89121,3,3220
89121,4,1430
89121,5,1190
89121,6,210
,,
89122,,23270
89122,1,9540
89122,2,8180
89122,3,3150
89122,4,1340
89122,5,960
89122,6,100
,,
89123,,27960
89123,1,8820
89123,2,7810
89123,3,4430
89123,4,2680
89123,5,3450
89123,6,770
,,
89124,,290
89124,1,70
89124,2,50
89124,3,50
89124,4,30
89124,5,90
89124,6,**
,,
89128,,17690
89128,1,6440
89128,2,5300
89128,3,2450
89128,4,1370
89128,5,1690
89128,6,440
,,
89129,,24960
89129,1,7740
89129,2,6510
89129,3,4040
89129,4,2540
89129,5,3240
89129,6,890
,,
89130,,16010
89130,1,5110
89130,2,4190
89130,3,2560
89130,4,1680
89130,5,2140
89130,6,330
,,
89131,,21280
89131,1,5490
89131,2,4250
89131,3,3170
89131,4,2540
89131,5,4570
89131,6,1260
,,
89134,,12910
89134,1,3370
89134,2,2490
89134,3,1990
89134,4,1530
89134,5,2340
89134,6,1190
,,
89135,,14050
89135,1,3100
89135,2,2240
89135,3,1850
89135,4,1500
89135,5,3080
89135,6,2280
,,
89138,,6890
89138,1,1410
89138,2,920
89138,3,860
89138,4,720
89138,5,1770
89138,6,1210
,,
89139,,20360
89139,1,6240
89139,2,6330
89139,3,3380
89139,4,1770
89139,5,2120
89139,6,520
,,
89141,,14590
89141,1,3730
89141,2,3560
89141,3,2350
89141,4,1670
89141,5,2370
89141,6,910
,,
89142,,15600
89142,1,6470
89142,2,5590
89142,3,2010
89142,4,850
89142,5,630
89142,6,50
,,
89143,,5590
89143,1,1530
89143,2,1310
89143,3,990
89143,4,680
89143,5,940
89143,6,140
,,
89144,,8860
89144,1,2210
89144,2,1780
89144,3,1330
89144,4,950
89144,5,1600
89144,6,990
,,
89145,,12150
89145,1,4300
89145,2,3650
89145,3,1710
89145,4,960
89145,5,960
89145,6,570
,,
89146,,9050
89146,1,4100
89146,2,2590
89146,3,990
89146,4,530
89146,5,590
89146,6,250
,,
89147,,26570
89147,1,9570
89147,2,8590
89147,3,4060
89147,4,1930
89147,5,1940
89147,6,480
,,
89148,,25150
89148,1,7600
89148,2,7100
89148,3,4250
89148,4,2530
89148,5,2940
89148,6,730
,,
89149,,17960
89149,1,4770
89149,2,4250
89149,3,2910
89149,4,1980
89149,5,3030
89149,6,1020
,,
89156,,11940
89156,1,5190
89156,2,4070
89156,3,1520
89156,4,650
89156,5,460
89156,6,50
,,
89161,,150
89161,1,40
89161,2,30
89161,3,30
89161,4,**
89161,5,50
89161,6,**
,,
89166,,9710
89166,1,2140
89166,2,2380
89166,3,1890
89166,4,1310
89166,5,1780
89166,6,210
,,
89169,,9600
89169,1,5310
89169,2,2980
89169,3,710
89169,4,250
89169,5,230
89169,6,120
,,
89178,,17210
89178,1,4340
89178,2,4640
89178,3,3140
89178,4,1990
89178,5,2580
89178,6,520
,,
89179,,4860
89179,1,1000
89179,2,1170
89179,3,960
89179,4,720
89179,5,900
89179,6,110
,,
89183,,17580
89183,1,5710
89183,2,5500
89183,3,2940
89183,4,1540
89183,5,1510
89183,6,380
,,
89301,,2250
89301,1,720
89301,2,500
89301,3,470
89301,4,270
89301,5,250
89301,6,40
,,
89310,,220
89310,1,70
89310,2,50
89310,3,30
89310,4,40
89310,5,30
89310,6,**
,,
89311,,110
89311,1,40
89311,2,40
89311,3,30
89311,4,**
89311,5,**
89311,6,**
,,
89316,,490
89316,1,160
89316,2,80
89316,3,60
89316,4,70
89316,5,100
89316,6,20
,,
89403,,7460
89403,1,2240
89403,2,2060
89403,3,1340
89403,4,850
89403,5,870
89403,6,100
,,
89406,,10100
89406,1,3580
89406,2,2610
89406,3,1630
89406,4,1040
89406,5,1110
89406,6,130
,,
89408,,9150
89408,1,3060
89408,2,2580
89408,3,1620
89408,4,950
89408,5,860
89408,6,80
,,
89410,,5470
89410,1,1800
89410,2,1240
89410,3,870
89410,4,580
89410,5,760
89410,6,220
,,
89413,,180
89413,1,30
89413,2,40
89413,3,**
89413,4,**
89413,5,40
89413,6,70
,,
89414,,120
89414,1,40
89414,2,40
89414,3,**
89414,4,40
89414,5,**
89414,6,0
,,
89415,,1530
89415,1,530
89415,2,450
89415,3,260
89415,4,150
89415,5,140
89415,6,**
,,
89418,,130
89418,1,50
89418,2,30
89418,3,50
89418,4,**
89418,5,**
89418,6,**
,,
89419,,1430
89419,1,490
89419,2,330
89419,3,240
89419,4,180
89419,5,190
89419,6,**
,,
89423,,6010
89423,1,1570
89423,2,1180
89423,3,900
89423,4,830
89423,5,1240
89423,6,290
,,
89425,,190
89425,1,80
89425,2,60
89425,3,30
89425,4,**
89425,5,20
89425,6,**
,,
89429,,2860
89429,1,1220
89429,2,820
89429,3,430
89429,4,220
89429,5,170
89429,6,**
,,
89430,,240
89430,1,70
89430,2,50
89430,3,40
89430,4,30
89430,5,50
89430,6,**
,,
89431,,17590
89431,1,7600
89431,2,6150
89431,3,2310
89431,4,890
89431,5,560
89431,6,80
,,
89433,,9120
89433,1,3910
89433,2,3090
89433,3,1330
89433,4,530
89433,5,260
89433,6,**
,,
89434,,12970
89434,1,4200
89434,2,3800
89434,3,2180
89434,4,1300
89434,5,1290
89434,6,200
,,
89436,,20120
89436,1,4940
89436,2,4110
89436,3,3310
89436,4,2880
89436,5,4160
89436,6,720
,,
89441,,5930
89441,1,1470
89441,2,1110
89441,3,840
89441,4,760
89441,5,1430
89441,6,320
,,
89444,,1230
89444,1,430
89444,2,300
89444,3,210
89444,4,130
89444,5,140
89444,6,20
,,
89445,,6230
89445,1,2030
89445,2,1120
89445,3,880
89445,4,870
89445,5,1190
89445,6,140
,,
89447,,4310
89447,1,2240
89447,2,1000
89447,3,470
89447,4,260
89447,5,280
89447,6,60
,,
89451,,2540
89451,1,600
89451,2,350
89451,3,250
89451,4,180
89451,5,470
89451,6,690
,,
89460,,6120
89460,1,1970
89460,2,1530
89460,3,960
89460,4,660
89460,5,740
89460,6,260
,,
89501,,2070
89501,1,930
89501,2,480
89501,3,230
89501,4,130
89501,5,170
89501,6,130
,,
89502,,21330
89502,1,9480
89502,2,7110
89502,3,2470
89502,4,1000
89502,5,980
89502,6,290
,,
89503,,12850
89503,1,5520
89503,2,3460
89503,3,1720
89503,4,960
89503,5,990
89503,6,200
,,
89506,,18760
89506,1,6350
89506,2,6000
89506,3,3170
89506,4,1710
89506,5,1410
89506,6,120
,,
89508,,5680
89508,1,1570
89508,2,1460
89508,3,1050
89508,4,740
89508,5,790
89508,6,70
,,
89509,,17760
89509,1,5640
89509,2,4160
89509,3,2430
89509,4,1540
89509,5,2710
89509,6,1280
,,
89510,,1620
89510,1,480
89510,2,400
89510,3,260
89510,4,150
89510,5,250
89510,6,80
,,
89511,,14330
89511,1,3630
89511,2,2540
89511,3,1680
89511,4,1210
89511,5,2850
89511,6,2420
,,
89512,,10840
89512,1,5670
89512,2,3390
89512,3,1040
89512,4,380
89512,5,300
89512,6,60
,,
89519,,4750
89519,1,1110
89519,2,650
89519,3,540
89519,4,410
89519,5,1040
89519,6,1000
,,
89521,,15580
89521,1,3690
89521,2,2800
89521,3,2400
89521,4,2040
89521,5,3540
89521,6,1110
,,
89523,,16540
89523,1,4800
89523,2,3700
89523,3,2510
89523,4,1770
89523,5,2880
89523,6,880
,,
89701,,11780
89701,1,4150
89701,2,3350
89701,3,1910
89701,4,1040
89701,5,1150
89701,6,180
,,
89703,,4880
89703,1,1300
89703,2,1000
89703,3,720
89703,4,530
89703,5,950
89703,6,380
,,
89704,,2070
89704,1,550
89704,2,410
89704,3,310
89704,4,260
89704,5,380
89704,6,160
,,
89705,,2470
89705,1,760
89705,2,650
89705,3,450
89705,4,280
89705,5,290
89705,6,40
,,
89706,,9190
89706,1,3750
89706,2,2700
89706,3,1390
89706,4,670
89706,5,580
89706,6,100
,,
89801,,10680
89801,1,3180
89801,2,1980
89801,3,1660
89801,4,1550
89801,5,2000
89801,6,310
,,
89815,,6310
89815,1,1380
89815,2,890
89815,3,890
89815,4,1110
89815,5,1790
89815,6,250
,,
89820,,2190
89820,1,650
89820,2,350
89820,3,330
89820,4,340
89820,5,460
89820,6,60
,,
89821,,220
89821,1,50
89821,2,50
89821,3,40
89821,4,40
89821,5,40
89821,6,**
,,
89822,,940
89822,1,260
89822,2,150
89822,3,160
89822,4,170
89822,5,200
89822,6,**
,,
89825,,410
89825,1,180
89825,2,160
89825,3,50
89825,4,20
89825,5,**
89825,6,**
,,
89828,,230
89828,1,50
89828,2,30
89828,3,30
89828,4,40
89828,5,80
89828,6,**
,,
89835,,770
89835,1,290
89835,2,180
89835,3,120
89835,4,80
89835,5,80
89835,6,20
